Image,class_label
00000,0
00001,2
00002,6
00003,1
00004,8
00005,4
00006,7
00007,5
00008,2
00009,4
00010,4
00011,3
00012,1
00013,8
00014,0
00015,1
00016,6
00017,6
00018,5
00019,3
00020,1
00021,3
00022,1
00023,8
00024,1
00025,3
00026,2
00027,7
00028,2
00029,8
00030,3
00031,6
00032,9
00033,2
00034,1
00035,2
00036,4
00037,7
00038,8
00039,5
00040,6
00041,2
00042,5
00043,6
00044,5
00045,4
00046,7
00047,2
00048,0
00049,8
00050,9
00051,5
00052,8
00053,4
00054,9
00055,5
00056,6
00057,9
00058,5
00059,4
00060,4
00061,9
00062,3
00063,0
00064,9
00065,2
00066,9
00067,9
00068,1
00069,6
00070,3
00071,4
00072,1
00073,2
00074,6
00075,2
00076,9
00077,0
00078,9
00079,1
00080,1
00081,3
00082,3
00083,4
00084,5
00085,3
00086,6
00087,2
00088,4
00089,3
00090,0
00091,1
00092,3
00093,2
00094,1
00095,9
00096,2
00097,4
00098,1
00099,8
00100,5
00101,2
00102,5
00103,1
00104,4
00105,2
00106,7
00107,7
00108,7
00109,4
00110,1
00111,9
00112,7
00113,8
00114,9
00115,9
00116,9
00117,5
00118,1
00119,5
00120,3
00121,4
00122,7
00123,1
00124,6
00125,9
00126,1
00127,7
00128,9
00129,5
00130,9
00131,0
00132,3
00133,6
00134,4
00135,6
00136,2
00137,5
00138,9
00139,2
00140,9
00141,3
00142,5
00143,6
00144,7
00145,6
00146,2
00147,9
00148,6
00149,9
00150,8
00151,5
00152,1
00153,3
00154,7
00155,7
00156,4
00157,5
00158,1
00159,4
00160,9
00161,4
00162,9
00163,6
00164,0
00165,1
00166,9
00167,6
00168,1
00169,0
00170,2
00171,2
00172,3
00173,7
00174,3
00175,8
00176,1
00177,3
00178,6
00179,0
00180,4
00181,4
00182,5
00183,8
00184,6
00185,4
00186,4
00187,3
00188,3
00189,0
00190,7
00191,8
00192,0
00193,6
00194,9
00195,2
00196,6
00197,3
00198,8
00199,0
00200,3
00201,0
00202,6
00203,3
00204,6
00205,9
00206,8
00207,8
00208,0
00209,7
00210,2
00211,9
00212,7
00213,3
00214,9
00215,0
00216,6
00217,8
00218,8
00219,0
00220,6
00221,5
00222,7
00223,2
00224,8
00225,2
00226,0
00227,2
00228,8
00229,8
00230,4
00231,8
00232,8
00233,1
00234,7
00235,4
00236,4
00237,0
00238,0
00239,9
00240,7
00241,9
00242,1
00243,5
00244,4
00245,8
00246,4
00247,9
00248,8
00249,8
00250,9
00251,0
00252,4
00253,7
00254,4
00255,0
00256,6
00257,9
00258,3
00259,4
00260,7
00261,5
00262,1
00263,6
00264,6
00265,8
00266,3
00267,0
00268,9
00269,6
00270,8
00271,4
00272,9
00273,8
00274,9
00275,4
00276,5
00277,1
00278,4
00279,0
00280,9
00281,4
00282,0
00283,0
00284,9
00285,5
00286,6
00287,9
00288,7
00289,8
00290,1
00291,7
00292,7
00293,7
00294,0
00295,4
00296,1
00297,1
00298,7
00299,1
00300,2
00301,4
00302,4
00303,6
00304,7
00305,4
00306,3
00307,9
00308,5
00309,9
00310,3
00311,2
00312,5
00313,9
00314,1
00315,6
00316,9
00317,6
00318,3
00319,3
00320,0
00321,1
00322,0
00323,1
00324,0
00325,6
00326,5
00327,0
00328,9
00329,9
00330,5
00331,3
00332,8
00333,4
00334,7
00335,3
00336,8
00337,2
00338,2
00339,9
00340,6
00341,6
00342,8
00343,2
00344,5
00345,7
00346,8
00347,7
00348,6
00349,2
00350,7
00351,8
00352,4
00353,4
00354,3
00355,3
00356,6
00357,7
00358,0
00359,7
00360,9
00361,9
00362,8
00363,7
00364,4
00365,8
00366,4
00367,7
00368,0
00369,7
00370,3
00371,0
00372,0
00373,8
00374,8
00375,7
00376,7
00377,8
00378,8
00379,0
00380,6
00381,0
00382,2
00383,8
00384,0
00385,4
00386,6
00387,4
00388,4
00389,9
00390,1
00391,5
00392,7
00393,2
00394,0
00395,0
00396,3
00397,1
00398,3
00399,2
00400,9
00401,0
00402,9
00403,6
00404,5
00405,1
00406,7
00407,6
00408,6
00409,6
00410,7
00411,4
00412,4
00413,5
00414,2
00415,6
00416,5
00417,9
00418,7
00419,7
00420,1
00421,9
00422,8
00423,2
00424,9
00425,1
00426,9
00427,4
00428,9
00429,2
00430,5
00431,7
00432,8
00433,2
00434,4
00435,6
00436,0
00437,8
00438,4
00439,8
00440,0
00441,4
00442,8
00443,6
00444,3
00445,6
00446,5
00447,6
00448,9
00449,6
00450,8
00451,0
00452,7
00453,6
00454,6
00455,2
00456,9
00457,1
00458,3
00459,1
00460,0
00461,9
00462,2
00463,1
00464,0
00465,6
00466,7
00467,2
00468,1
00469,7
00470,7
00471,1
00472,7
00473,9
00474,7
00475,3
00476,0
00477,4
00478,4
00479,2
00480,9
00481,0
00482,5
00483,8
00484,6
00485,5
00486,0
00487,3
00488,8
00489,3
00490,1
00491,1
00492,6
00493,7
00494,6
00495,9
00496,3
00497,7
00498,9
00499,6
00500,4
00501,0
00502,3
00503,8
00504,8
00505,2
00506,4
00507,6
00508,5
00509,4
00510,2
00511,1
00512,8
00513,9
00514,9
00515,9
00516,7
00517,2
00518,4
00519,5
00520,8
00521,1
00522,0
00523,6
00524,7
00525,6
00526,8
00527,5
00528,5
00529,0
00530,2
00531,2
00532,4
00533,3
00534,9
00535,7
00536,3
00537,5
00538,0
00539,9
00540,3
00541,1
00542,5
00543,5
00544,4
00545,2
00546,9
00547,9
00548,7
00549,5
00550,2
00551,7
00552,3
00553,2
00554,0
00555,6
00556,3
00557,3
00558,7
00559,6
00560,4
00561,3
00562,5
00563,8
00564,9
00565,3
00566,7
00567,0
00568,6
00569,2
00570,0
00571,9
00572,6
00573,4
00574,0
00575,8
00576,3
00577,3
00578,2
00579,3
00580,7
00581,0
00582,2
00583,8
00584,5
00585,9
00586,5
00587,7
00588,2
00589,4
00590,9
00591,7
00592,9
00593,0
00594,7
00595,6
00596,6
00597,9
00598,3
00599,0
00600,3
00601,8
00602,3
00603,2
00604,5
00605,2
00606,7
00607,6
00608,9
00609,6
00610,9
00611,9
00612,6
00613,0
00614,8
00615,1
00616,6
00617,5
00618,5
00619,8
00620,5
00621,5
00622,3
00623,2
00624,9
00625,1
00626,0
00627,6
00628,8
00629,0
00630,5
00631,0
00632,6
00633,8
00634,2
00635,2
00636,0
00637,6
00638,7
00639,3
00640,4
00641,8
00642,8
00643,4
00644,3
00645,8
00646,4
00647,4
00648,4
00649,6
00650,7
00651,8
00652,6
00653,2
00654,3
00655,6
00656,3
00657,2
00658,3
00659,9
00660,7
00661,9
00662,2
00663,2
00664,0
00665,9
00666,6
00667,7
00668,5
00669,2
00670,4
00671,3
00672,7
00673,4
00674,2
00675,4
00676,0
00677,3
00678,1
00679,1
00680,4
00681,8
00682,0
00683,8
00684,4
00685,5
00686,3
00687,2
00688,2
00689,0
00690,5
00691,4
00692,2
00693,8
00694,4
00695,6
00696,1
00697,0
00698,1
00699,9
00700,7
00701,3
00702,0
00703,4
00704,1
00705,2
00706,8
00707,1
00708,0
00709,0
00710,4
00711,1
00712,1
00713,9
00714,9
00715,3
00716,5
00717,3
00718,6
00719,3
00720,0
00721,5
00722,0
00723,6
00724,3
00725,9
00726,0
00727,0
00728,8
00729,6
00730,2
00731,4
00732,3
00733,1
00734,9
00735,6
00736,8
00737,4
00738,4
00739,6
00740,1
00741,8
00742,0
00743,7
00744,0
00745,7
00746,3
00747,9
00748,6
00749,7
00750,6
00751,0
00752,0
00753,5
00754,1
00755,0
00756,3
00757,2
00758,5
00759,5
00760,3
00761,0
00762,7
00763,6
00764,1
00765,3
00766,8
00767,8
00768,8
00769,8
00770,9
00771,1
00772,4
00773,4
00774,4
00775,2
00776,3
00777,8
00778,5
00779,8
00780,0
00781,6
00782,0
00783,3
00784,2
00785,1
00786,1
00787,4
00788,8
00789,1
00790,9
00791,1
00792,0
00793,9
00794,6
00795,4
00796,1
00797,8
00798,4
00799,3
00800,8
00801,3
00802,8
00803,9
00804,9
00805,7
00806,1
00807,4
00808,0
00809,8
00810,5
00811,0
00812,2
00813,5
00814,0
00815,0
00816,0
00817,1
00818,2
00819,4
00820,5
00821,7
00822,3
00823,9
00824,5
00825,9
00826,8
00827,2
00828,4
00829,8
00830,1
00831,9
00832,8
00833,6
00834,5
00835,5
00836,3
00837,0
00838,7
00839,0
00840,4
00841,4
00842,4
00843,6
00844,6
00845,5
00846,5
00847,8
00848,7
00849,7
00850,0
00851,4
00852,7
00853,9
00854,8
00855,8
00856,2
00857,1
00858,1
00859,7
00860,8
00861,5
00862,7
00863,5
00864,3
00865,3
00866,0
00867,9
00868,7
00869,6
00870,3
00871,6
00872,7
00873,4
00874,0
00875,1
00876,0
00877,4
00878,9
00879,2
00880,4
00881,6
00882,8
00883,3
00884,3
00885,0
00886,5
00887,9
00888,1
00889,6
00890,8
00891,4
00892,2
00893,6
00894,6
00895,8
00896,8
00897,8
00898,6
00899,0
00900,4
00901,3
00902,1
00903,5
00904,2
00905,9
00906,9
00907,2
00908,7
00909,2
00910,3
00911,7
00912,3
00913,4
00914,7
00915,8
00916,3
00917,1
00918,7
00919,2
00920,6
00921,2
00922,3
00923,7
00924,7
00925,7
00926,6
00927,4
00928,4
00929,4
00930,1
00931,4
00932,3
00933,3
00934,5
00935,2
00936,1
00937,9
00938,0
00939,3
00940,5
00941,4
00942,5
00943,2
00944,7
00945,7
00946,1
00947,0
00948,1
00949,1
00950,5
00951,4
00952,5
00953,9
00954,6
00955,5
00956,6
00957,8
00958,0
00959,6
00960,0
00961,9
00962,0
00963,2
00964,1
00965,8
00966,0
00967,6
00968,0
00969,8
00970,3
00971,2
00972,8
00973,0
00974,9
00975,2
00976,9
00977,8
00978,2
00979,7
00980,3
00981,8
00982,6
00983,9
00984,7
00985,4
00986,5
00987,6
00988,2
00989,0
00990,0
00991,3
00992,1
00993,2
00994,4
00995,4
00996,0
00997,8
00998,0
00999,7
01000,6
01001,6
01002,0
01003,7
01004,9
01005,3
01006,8
01007,5
01008,7
01009,8
01010,6
01011,2
01012,4
01013,7
01014,3
01015,3
01016,2
01017,2
01018,2
01019,6
01020,5
01021,8
01022,6
01023,5
01024,1
01025,0
01026,1
01027,9
01028,4
01029,1
01030,0
01031,7
01032,3
01033,1
01034,1
01035,8
01036,8
01037,6
01038,1
01039,0
01040,3
01041,7
01042,5
01043,2
01044,0
01045,6
01046,6
01047,1
01048,0
01049,9
01050,4
01051,5
01052,1
01053,5
01054,6
01055,4
01056,5
01057,6
01058,4
01059,2
01060,1
01061,6
01062,6
01063,4
01064,1
01065,8
01066,4
01067,0
01068,9
01069,8
01070,7
01071,9
01072,6
01073,3
01074,1
01075,7
01076,7
01077,2
01078,4
01079,3
01080,6
