Image,class_label,filename,target,target_name,split
00001,2,00001,0,Outerwear,train
00002,6,00002,1,Shirts,train
00004,8,00004,4,Accessories,train
00005,4,00005,0,Outerwear,train
00006,7,00006,3,Low-top shoes,train
00008,2,00008,0,Outerwear,train
00009,4,00009,0,Outerwear,train
00010,4,00010,0,Outerwear,train
00011,3,00011,0,Outerwear,train
00012,1,00012,2,Pants,train
00015,1,00015,2,Pants,train
00017,6,00017,1,Shirts,train
00019,3,00019,0,Outerwear,train
00020,1,00020,2,Pants,train
00021,3,00021,0,Outerwear,train
00022,1,00022,2,Pants,train
00024,1,00024,2,Pants,train
00025,3,00025,0,Outerwear,train
00028,2,00028,0,Outerwear,train
00029,8,00029,4,Accessories,train
00031,6,00031,1,Shirts,train
00033,2,00033,0,Outerwear,train
00036,4,00036,0,Outerwear,train
00037,7,00037,3,Low-top shoes,train
00038,8,00038,4,Accessories,train
00040,6,00040,1,Shirts,train
00041,2,00041,0,Outerwear,train
00042,5,00042,3,Low-top shoes,train
00043,6,00043,1,Shirts,train
00046,7,00046,3,Low-top shoes,train
00047,2,00047,0,Outerwear,train
00048,0,00048,1,Shirts,train
00052,8,00052,4,Accessories,train
00053,4,00053,0,Outerwear,train
00056,6,00056,1,Shirts,train
00059,4,00059,0,Outerwear,train
00060,4,00060,0,Outerwear,train
00062,3,00062,0,Outerwear,train
00065,2,00065,0,Outerwear,train
00068,1,00068,2,Pants,train
00069,6,00069,1,Shirts,train
00072,1,00072,2,Pants,train
00073,2,00073,0,Outerwear,train
00074,6,00074,1,Shirts,train
00075,2,00075,0,Outerwear,train
00080,1,00080,2,Pants,train
00081,3,00081,0,Outerwear,train
00083,4,00083,0,Outerwear,train
00084,5,00084,3,Low-top shoes,train
00085,3,00085,0,Outerwear,train
00087,2,00087,0,Outerwear,train
00088,4,00088,0,Outerwear,train
00089,3,00089,0,Outerwear,train
00090,0,00090,1,Shirts,train
00092,3,00092,0,Outerwear,train
00093,2,00093,0,Outerwear,train
00094,1,00094,2,Pants,train
00096,2,00096,0,Outerwear,train
00097,4,00097,0,Outerwear,train
00098,1,00098,2,Pants,train
00099,8,00099,4,Accessories,train
00100,5,00100,3,Low-top shoes,train
00101,2,00101,0,Outerwear,train
00102,5,00102,3,Low-top shoes,train
00103,1,00103,2,Pants,train
00104,4,00104,0,Outerwear,train
00106,7,00106,3,Low-top shoes,train
00107,7,00107,3,Low-top shoes,train
00108,7,00108,3,Low-top shoes,train
00112,7,00112,3,Low-top shoes,train
00120,3,00120,0,Outerwear,train
00121,4,00121,0,Outerwear,train
00122,7,00122,3,Low-top shoes,train
